"row_id","ID_TGAS_source","RA_TGAS","DE_TGAS","pmRA_TGAS","pmDE_TGAS","parallax_TGAS","phot_g_mean_mag_TGAS","HRV"
1,3468060163078890752,184.89737863576525,-34.72327357479088,33.62106240601845,11.763310096325577,8.893462132547661,10.123850113157598,10.372
2,6158339888161766400,188.61283657498848,-34.31786307480478,-18.341161126369258,-20.464709933427123,3.368941365073726,9.852586829713339,34.075
3,6123173658014875136,213.83424541365062,-33.40234486253712,-24.90852292740452,-7.690603309286109,4.010081176048042,10.767653224679348,-11.692
4,6123181698193650176,213.84389869951852,-33.238665518890926,-27.09664130767473,-1.305977957598459,4.266140970612665,9.535751921865415,7.105
5,6124387003456389376,213.94007975781446,-32.154114451478684,-212.744990756297,-219.96834256915844,12.087289293649686,10.42993553890063,-18.437
6,6124426001759420288,213.0811013847169,-32.12417085774268,-28.364296278108586,-11.118446235718938,4.843959407022156,9.378088466376994,4.141
7,6172819459867458944,212.1241301077434,-30.882655973543283,-7.520655025367781,-34.17713075823754,3.7949270731696814,10.746696717249458,34.658
8,6173086125797638016,211.7035009541234,-30.008838324249908,-22.076804514774164,-8.45637096373721,4.641452701114319,10.692889553336396,1.984
9,6172983561977609088,212.492372668952,-29.858652617760296,13.216481322665397,-36.29695675790819,6.260894996483787,10.299612983743081,54.19
10,6269147501778060032,213.6456994318395,-28.823610615782933,75.98494083572908,9.666324334372671,4.902535554505033,10.155675567841126,42.442
11,6220875539704474880,215.70600212788034,-29.468965550093532,-27.650309139496663,-17.52801060554056,3.454791271088441,10.060699776729287,-5.768
12,6220546682649566976,217.50301048479446,-29.363499911278602,-8.96965092610152,-13.367384948031376,5.329333135144063,10.574092865729043,-10.697
13,6220136152494518272,217.57898969915072,-30.51155569909057,-30.83783081276833,-33.57501732794945,8.172306058191475,10.760138251227254,-11.73
14,6219906457644488832,216.83109907325613,-30.966769582061595,-5.523079540686865,-1.471630120118353,4.013274551430727,10.490717868160722,4.134
15,6219697997110894336,217.09191276355762,-31.334069253391263,-10.006960302037365,8.139789049546607,4.802023786365741,10.971312230354238,-7.775
16,3463151324697225216,182.53645906725217,-33.82430900288219,14.591959446957889,-20.296855667648764,4.882111172898146,9.637107548182104,4.184
17,6170251103783886080,207.9142201409867,-34.40049346603569,-31.969194658118152,-6.76922345304888,4.132020918597984,10.407025206062794,-6.016
18,6170913525180496128,208.72922516179653,-32.27182910499068,-6.068132476479123,-11.311782775760642,6.59328979985975,10.018348915344298,0.539
19,6174594552671044864,205.80566091154586,-31.85245051842351,12.078413788967664,-14.044408463908646,4.092127938153029,9.808354625784139,-13.146
20,6175116167858886912,206.92709188982948,-30.323946912400622,-12.576207807363645,8.181186856776474,3.5458482305750203,10.186931032594046,-5.844
21,6173437351042621824,209.29705521832108,-30.3631271747492,-40.29617954711875,-37.26922825632268,4.732794683605251,10.491128063023993,78.862
22,6172473113706505216,210.23422208405532,-31.796811019239556,-694.906835102626,96.64135738206302,32.02669706801331,10.21073875083508,-19.745
23,6224535023639333888,224.92609487510055,-27.41441805508587,-5.589290229265958,-13.94989992862598,3.777323566803115,10.449167626066785,-33.946
24,6228670355590884736,223.4769439268679,-25.867684842265355,41.74807377168829,-21.999770941123302,5.8230188355048105,10.348314990126289,7.896
25,6229240383650417280,224.3611856201601,-24.63963190908522,-0.28056334463718136,-14.948360418597883,3.4428825108467045,10.879759989084747,-24.406
26,6230788908339182208,225.09435935076746,-23.96247745910884,-20.438931790127302,-0.7212282963922743,3.486334713094385,10.179545981068724,-30.812
27,6227954504801718784,228.28432355509466,-24.102326838265576,22.042793326654024,-22.794807634746252,4.3986191404634045,10.620213146219138,21.411
28,6226709788919624192,227.97001803225484,-25.17893577133675,-14.739945360875076,-8.40746121737583,3.3532641228976368,10.962251687069886,-35.261
29,6226739510094203136,227.42426664313805,-25.29061956884529,-11.386309075454209,5.217571350934061,4.1387225949286055,10.40452159253488,-1.222
30,6226722811261361152,227.516604123825,-25.418067570794438,28.355956216478198,-18.984888340050514,5.0183374224743265,9.967929103353256,5.662
31,3477986519694708096,172.84626144236515,-33.561771655091974,-43.153419458464676,-15.689347514331743,5.126918792710934,10.558190970564802,49.444
32,4345420139387163648,244.90596517245882,-9.380523288051801,-34.37748909613216,-13.799540922310035,4.153550159758358,9.925122695694473,-21.574
33,4345113444362490624,243.84562042117707,-9.334494594338862,9.973690662167694,0.6539249666072553,3.986341955507503,9.574369105680951,15.208
